match_id	ccl_id
0	C553
6	C572
9	C567
10	C597
12	C596
13	C602
13	C603
14	C604
17	C627
18	C272
18	C624
20	C610
21	C610
22	C341
24	C471
24	C472
25	C470
27	C628
27	C629
27	C630
28	C319
29	C620
30	C363
31	C484
32	C484
33	C3363
34	C404
34	C409
35	C762
36	C439
37	C2831
38	C2856
39	C415
41	C446
42	C444
42	C445
43	C501
44	C500
44	C500
45	C499
46	C400
47	C448
47	C449
48	C450
49	C450
50	C508
50	C511
51	C512
52	C502
53	C502
54	C13
55	C536
59	C636
61	C540
62	C578
62	C578
63	C542
65	C555
65	C556
66	C555
66	C556
67	C575
68	C320
69	C339
69	C340
70	C338
70	C340
71	C515
72	C329
73	C333
74	C442
75	C576
76	C323
77	C594
78	C347
79	C350
80	C350
81	C350
82	C350
83	C350
83	C391
86	C350
86	C361
87	C350
84	C391
85	C397
88	C447
89	C538
90	C538
90	C539
91	C319
93	C329
95	C4651
96	C4051
96	C4589
97	C4655
98	C2531
98	C2531
99	C4149
100	C4018
102	C4020
102	C4022
102	C4589
103	C4323
105	C4323
104	C4324
104	C4325
106	C4409
107	C4418
108	C4419
109	C7236
110	C7238
111	C4084
111	C4085
112	C3800
113	C706
113	C4143
113	C4144
114	C4271
115	C4378
116	C7271
117	C4261
117	C4262
119	C4093
119	C4094
120	C4166
120	C4167
122	C493
122	C7697
123	C7255
124	C4408
125	C4870
126	C4092
127	C4078
127	C4079
128	C4081
129	C4089
129	C4090
130	C4086
130	C4088
130	C4093
130	C4094
131	C7127
132	C7124
132	C7125
132	C7126
135	C4236
135	C4266
135	C4267
136	C4268
136	C4269
137	C3349
137	C6216
137	C6217
139	C300
139	C7089
139	C7091
139	C7098
140	C2561
142	C7521
142	C7522
142	C7523
145	C7165
145	C7166
151	C7166
151	C7642
151	C7643
151	C7700
146	C7084
147	C7084
147	C7089
147	C7091
147	C7097
147	C7098
149	C4842
149	C7332
149	C7333
150	C7164
152	C7643
153	C7644
154	C7328
154	C7340
154	C7341
155	C7417
156	C4873
159	C4225
159	C4226
160	C4852
160	C4853
164	C4858
164	C4879
165	C7075
165	C7076
165	C7084
167	C815
169	C2018
171	C2018
170	C2017
173	C746
173	C4529
173	C4530
175	C747
176	C747
177	C7306
177	C7307
178	C7328
179	C301
180	C4661
183	C4737
183	C4738
183	C823
184	C3881
184	C3883
185	C4674
185	C4675
186	C6953
187	C4017
188	C7098
189	C7097
189	C7497
190	C7087
192	C7410
192	C7411
194	C7935
195	C7448
195	C7449
196	C7455
196	C7457
197	C7216
198	C7215
198	C7424
200	C2334
201	C7321
202	C7327
203	C7320
204	C7047
206	C7057
207	C4649
207	C7080
207	C7083
207	C7084
208	C5748
209	C7102
210	C7318
211	C7163
212	C7317
212	C7320
215	C2923
215	C6289
217	C6282
218	C6284
218	C6285
219	C6191
219	C6193
219	C6194
222	C6189
222	C6190
224	C6276
224	C6277
225	C6291
226	C6292
228	C562
228	C6285
229	C6260
231	C6268
233	C6269
236	C7579
238	C7820
240	C7564
240	C7566
240	C7570
241	C7571
241	C7573
243	C7565
245	C7995
245	C7999
248	C7994
249	C35
249	C1286
249	C1287
249	C1291
251	C7605
251	C7607
253	C7555
254	C7663
254	C7664
255	C7729
256	C7750
256	C7753
257	C7706
257	C7707
259	C7749
260	C7765
260	C7766
260	C7769
261	C7747
261	C7767
261	C7768
264	C7816
265	C7813
268	C7775
268	C7776
269	C7550
270	C7853
271	C7649
272	C7870
273	C7905
274	C7913
276	C7906
276	C7908
277	C7893
277	C7894
277	C7900
277	C7901
277	C7903
277	C7904
279	C7898
281	C7896
286	C4817
286	C6796
286	C6797
287	C7883
288	C7880
288	C7881
289	C6798
290	C7862
291	C7861
292	C7668
294	C7200
294	C7155
296	C7623
296	C7624
296	C7625
296	C7628
296	C7629
298	C1374
299	C7925
300	C7917
301	C7980
302	C7922
303	C7982
303	C7983
304	C1380
305	C7933
306	C7969
306	C7970
308	C4862
308	C4863
309	C7548
310	C2721
310	C4864
312	C7956
312	C7958
316	C7549
317	C7956
317	C7958
317	C7959
318	C7560
320	C7689
321	C1478
321	C1479
321	C1483
324	C6349
326	C3890
326	C3891
327	C6386
327	C6387
328	C6977
329	C5696
330	C5699
330	C5704
330	C5706
330	C5707
332	C5724
332	C5725
333	C5740
334	C5724
334	C5725
335	C6360
336	C6447
339	C6441
340	C6439
343	C6442
345	C6315
345	C6316
346	C6443
347	C6435
347	C6436
348	C6440
350	C5742
351	C6448
351	C6496
353	C6451
353	C6453
354	C5764
357	C6462
357	C6463
360	C6464
362	C6459
362	C6460
363	C6459
363	C6460
364	C6458
367	C6895
367	C6896
368	C2711
369	C6864
369	C6865
370	C6952
372	C6894
372	C6912
373	C7028
373	C7029
376	C6884
377	C7029
378	C7031
379	C6956
379	C6957
381	C6927
383	C6924
383	C6925
386	C6202
387	C6199
391	C7010
391	C7011
394	C1107
396	C7027
397	C7021
397	C7022
399	C6173
399	C6174
400	C6326
401	C6422
401	C6423
403	C7043
405	C6479
406	C6471
409	C1748
409	C1748
409	C1749
410	C6660
410	C6661
412	C6607
414	C6613
415	C6703
417	C6634
418	C6391
418	C6392
419	C6606
420	C6602
422	C6606
425	C6622
425	C6623
426	C6639
428	C5905
430	C6664
432	C6632
432	C6633
433	C5903
435	C5904
436	C5904
437	C6651
439	C4806
439	C6649
441	C6647
442	C6627
443	C6627
445	C6611
445	C6612
446	C5867
446	C5869
447	C6701
448	C6672
449	C4810
449	C4811
452	C4807
453	C6799
454	C3993
454	C3994
458	C6688
458	C6689
461	C6723
