MATCH	Form	Root	Nominal_class	Meaning_de	Pages	Coptic_S	Coptic_B	Coptic_A	Coptic_A2	Coptic_Fs	Coptic_F	Coptic_M	Coptic_Sf	Coptic_O	Coptic_H	Coptic_Sa	Coptic_V	Coptic_ManiHPK	Coptic_Mf	Coptic_Sh	Coptic_Bf	Coptic_Copt_undefined
0	*b'e/uḏꜣvt	bḏꜣ	A'uBCit	Tiegel; Metallplatte	230, 458	ⲃⲏⲧⲉ			ⲃⲏⲧⲉ													
1	bḏꜣ	bḏꜣ	A'i:BiC	Krümmung	50, 249, 789, 790		ⲃⲓϫⲓ															
2	bḏꜣ	bḏꜣ		Krümmung; Biegung; Verdrehung	789		ⲟⲩⲟϫⲓ															
3	*bvḏ'i:ꜣ(ey)	bḏꜣ	AuB'i:Ciw	Falte; Runzel	249, 491, 789, 790		ⲉϥϫⲓ															
4	*bvgs'e(y)/*b'egsv(y)	bgsbgs	AuBC'iw/A'uBCiw	Aufrührer: Rebell	177				ⲃⲉⲝⲉ													
6	*b'egsvt/(y)	bgs		Streit o.ä.; Krieg	687		ⲃⲉⲧⲥ			ⲃⲁⲧⲥ												
7	*b'egsvt	bgs	A'iBCat	Rebellion	80, 687				ⲃⲉϭⲥⲉ													
8	*bvgs'e:(y)vt	bgs	AuBC'i:wvt	Kriegerin	177		ⲃⲏⲧⲥⲏ															
9	bgs	bgs		kämpfen	177		ⲃⲱⲧⲥ		ⲃⲱϭⲥ													
13	*b'a:hvn	bhn	A'a:BiC	Decke; Obdach	124, 364	ⲃⲱϩⲛ																
17	*bvj'itvj	bjt		Bienenzüchter; Imker; König von Unterägypten	313	ⲉⲃⲉⲓⲧ, ⲉⲃⲓⲧ																
24	*b'ajnvt	bjn	A'aBCat	schlimm; böse; das Böse; Schaden; Unheil; Übel	129, 715	ⲃⲟⲟⲛⲉ																
25	*b'a:jvn	bjn	A'a:BiC	schlecht; schlimm	128	ⲃⲱⲱⲛ																
27				elend; arm; unglücklich	381, 454	ⲉⲃⲓⲏⲛ	ⲉⲃⲓⲏⲛ	ⲉⲃⲓⲏⲛ	ⲃⲓⲏⲛ		ⲉⲃⲓⲏⲛ											
29	*bvj'eꜣ(j)vt	bjꜣ	AiB'iCj/wit	staunen; in Staunen geraten	57		ⲉⲃⲏ, ⲉⲃⲓⲏ															
30	*b'akꜣvt	bkꜣ	A'aBCat	Schwangere	120		ⲃⲟⲕⲓ															
32	*b'enjvt	bnj		Dattelpalme	316, 623	ⲃⲉⲛⲉ, ⲃⲏⲛⲉ, ⲃⲏⲛⲛⲉ, ⲃⲛⲛⲉ, ⲃⲩⲛⲉ																
34	bnw	bnw	A'a:Baj/w	lösen	38, 625, 834	ⲃⲱⲗ																
35	*b'enwvt	bnw	A'iBCit	Mahlstein; Mühle	141, 383, 386, 550		ⲉⲩⲛⲓ					ⲟⲩⲛⲉ										
36				herausreissen	346, 625																	
40	*b'e:/u:lvw	bl	A'uBCvw	Aussenseite	266, 459, 834, 835	ⲃⲏⲗ	ⲃⲏⲗ				ⲃⲏⲗ											
41			A'iBCat	Wut; Zorn	no etym 85			ⲃⲗⲕⲉ	ⲃⲗⲕⲉ													
42				zornig sein	no etym 85, 162			ⲃⲱⲗⲕ														
43	*b'e/irjvt	brj		Boot	429	ⲃⲁⲁⲣⲉ																
