MATCH	Root	Reconstruction	Gram_number	Gram_gender	Gram_form	Meaning_fr	Pages	Degree_Certainty	Relation_cpt__eg_forms	Coptic_S	Coptic_B	Coptic_A	Coptic_A2	Coptic_P	Coptic_F	Coptic_F0	Coptic_S0	Coptic_O	Coptic_B0	Coptic_A0	Coptic_M	Coptic_L	Coptic_G	Coptic_B_Gr	Coptic_Sf	Coptic_H	Coptic_A20	Coptic_Hf
4	bgs	°bags-īỉ; *bags-ìỉ				rebelle	30	very_likely	related__not_same				ⲃⲉⲝⲉ															
5	bgs		pl			rebelle	30	very_likely	related__not_same				ⲃⲉⲝⲉⲩ															
7	bgs	*bigsa.t		f		rébellion	34	very_likely	same				ⲃⲉϭⲥⲉ															
9	bgs				inf.	combattre	32	very_likely	related__not_same	ⲃⲱⲧⲥ	ⲃⲱⲧⲥ		ⲃⲱϭⲥ															
10	bh.t			f		paupière; sourcil	34	perhaps	same	ⲃⲟⲩϩⲉ, ⲃⲱϩⲉ	ⲃⲟⲩϩⲓ																	
11	bh.t		pl	f		paupière; sourcil	34	perhaps	same					ⲃⲁϩⲟⲩⲉ														
12	bẖ					taureau sacré	33	very_likely	same		ⲃⲟϩ																	
13	bhn	*bahin				couvrir	34	very_likely	same	ⲃⲱϩⲛ																		
14	bḥz.t			f		génisse	34	very_likely	same	ⲃⲁϩⲥⲉ	ⲃⲁϩⲥⲓ																	
15	by.t-y				nisbe	apiculteur	38	very_likely	same	ⲉⲃⲉⲓⲧ																		
16	by.t-y		pl		nisbe	apiculteur	38	very_likely	same	ⲉⲃⲓⲁⲧⲉ																		
18	by.t			f		miel	38	very_likely	same	ⲉⲃⲓⲱ	ⲉⲃⲓⲱ																	
19	by.t		pl	f		miel	38	very_likely	same	ⲉⲃⲓⲟⲟⲩⲉ																		
20	bỉk	*baỉīkw-ū	pl			faucon	34	very_likely	same		ⲃⲉϫⲓ																	
21	bỉk	°bayīkaw; *b[ỉ]īkō				faucon	34	very_likely	same	ⲃⲏϭ	ⲃⲏϫ				ⲃⲏϭ	ⲃⲓϭ												
22	b(y)n.t	*bayna.t		f	part.|act.	harpe	26	very_likely	same								ⲃⲟⲓⲛⲉ											
23	bỉn	*bāỉin			part.|act.	mauvais	29	very_likely	same		ⲃⲟⲛⲓ																	
24	bỉn.t	°bāỉina.t; *baỉna.t		f	part.|act.	mauvaise	29	very_likely	same	ⲃⲟⲟⲛⲉ																		
25	bỉn	*bāỉin			part.|act.	mauvais	28	very_likely	same	ⲃⲱⲱⲛ																		
26	bỉn.t	°bāỉina.t; *baỉna.t		f	part.|act.	mauvaise	28	very_likely	same		ⲃⲱⲛ	ⲃⲟⲩⲟⲩⲛ																
27	byn	*baỉīnaw			adj.	pauvre; malheureux; mauvais	38	very_likely	same	ⲉⲃⲓⲏⲛ	ⲉⲃⲓⲏⲛ	ⲉⲃⲓⲏⲛ, ϩⲃⲃⲓⲏⲛ	ⲃⲓⲏⲛ		ⲉⲃⲓⲏⲛ													
28	byꜣ	*bar			prenom.	métal	24	very_likely	same	ⲃⲁ-	ⲃⲁ-	ⲃⲁ-	ⲃⲁ-		ⲃⲁ-													
29	bỉꜣ.t	*baỉīꜣa.t		f	nom abstrait	étonnement	38	very_likely	same		ⲉⲃⲏ																	
30	bkꜣ.t	°bākiꜣa.t; *bakꜣa.t		f	part.|act.	enceinte; femme enceinte	26	very_likely	same		ⲃⲟⲕⲓ																	
31	bny	°binn-ū; *biny-ū	pl			datte	29	reconstruction_unclear	same	ⲃⲛⲛⲉ	ⲃⲉⲛⲓ																	
33	s-bny	*sabnay			inf.	éventer	14	very_likely	same	ⲥⲟⲃⲛ, ⲥⲟⲃⲛⲉ																		
35	bnw.t; bnwy.t	*ebnōyet; *benwōyet		f		meule; meule inférieure	48	very_likely	same		ⲉⲩⲛⲓ																	
37	bnbn				inf.	déborder; couler; s'écouler	159	very_likely	same	ⲡⲟⲙⲡⲉⲙ																		
38	pnꜥyy.t	*penꜥēyet; *pennēyet		f		montant de porte; seuil; marche	160	very_likely	same	ⲡⲛⲏ, ⲡⲛⲛⲏ	ⲃⲉⲛⲛⲏ																	
39	bl					côté extérieur	27	very_likely	same	ⲃⲟⲗ	ⲃⲟⲗ	ⲃⲁⲗ	ⲃⲁⲗ		ⲃⲁⲗ			ⲃⲁⲗ										
