MATCH__ID	MATCH__form	MATCH__meaning_en	MATCH__gram_number	MATCH__gram_gender	MATCH__pattern
0				f	
1					
2					
3					
4					
5			pl		
6				m/f	
7				f	
8				f	
9					
10				f	
11			pl	f	
12					
13					
14				f	
15					
16			pl		
17					
18				f	
19			pl	f	
20			pl		
21					
22				f	
23					
24				f	
25					
26				f	
27					
28					
29				f	
30				f	
31			pl		
32				f	
33					s-
34					
35				f	
36					rr-rr
37					rr-rr
38				f	xr-r
39					
40					
41				f	
42					
43				f	
44				f	
45					
46					
47					
48			pl		
49				f	
50					rr-rr
51					rr-rr
52			pl		
53					
54				f	
55					
56			pl		
57			pl	f	
58				f	
59					
60					rr-rr
61					
62			pl		
63					
64			pl		
65				f	
66					
67					
68					
69					
70					
71					
72					rr-rr
73					rr-rr
74				f	rr-rr
75				f	
76				f	
77					
78				f	
79				f	
80					
81			pl	f	
82				f	
83					
84			pl		
85				f	
86				f	
87				f	
88				f	
89					
90				f	
91					
92				f	
93					rr-rr
94				f	
95					
96				f	
97			pl		
98			NN	NN	
99			NN	NN	
100			NN	NN	
101					
102					
103					
104					
105				f	
106					
107					
108				f	
109				f	
110					
111				f	
112			pl/coll		s-
113					
114				f	
115					
116					
117					xxrr
118					
119					
120				f	
121				f	
122					
123					
124				f	
125					
126				f	
127				f	
128					
129				f	
130					
131					
132					
133					
134					rr-rr
135					rr-rr
136				f	rr-rr
137					s-
138					s-
139					
140			NN	NN	
141				f	
142					rr-rr
143			pl		rr-rr
144				f	
145					
146				f	
147				m/f	
148			pl	m/f	
149					
150					
151					
152					
153				f	
154					
155				f	
156				f	
157					
158					
159					
160				m/f	
161				f	
162				f	
163				f	
164					
165					
166					
167					
168					x-rr-rr
169					m-
170					m-
171					m-
172					
173					
174					
175				f	
176				f	
177					
178					
179				f	
180					
181			coll	f	
182			pl		
183					
184					s-
185					
186					
187				f	
188					rr-rr
189					rr-rr
190					
191			pl		
192					
193					
194				f	
195					
196					
197					
198					
199				f	
200			pl		m-
201					
202				f	
203					
204					
205			pl		
206					
207					
208				f	
209				f	
210					
211				f	
212					
213					
214					
215					
216				f	
217					
218				f	
219					
220			pl		
221					
222					
223				f	
224					
225					
226					
227					
228					
229					
230					
231				f	
232					
233					
234					
