TLA__ID	TLA__form	TLA__meaning_en	TLA__meaning_de
58550	bḏꜣ	crucible	Gussform
58570	bḏꜣ	bread mold; mold	Backform; Gussform (Topf aus gebranntem Ton)
58600	bḏꜣ.t	baker's oven	Backofen
54070	bꜣd.t	[a (measuring) vessel]	[ein Topf (als Maß)]
55100	bꜥṯꜣ	[a copper jug]	[ein Krug (aus Kupfer)]
58120	bt	[a mold for making figures of Osiris]	[Form zur Herstellung der Osirisfigur]
450143	bgs	to injure; to be injured; to be disloyal	schaden; illoyal sein
58060	bgs.w	wrongdoing	Schaden; Aufruhr
58070	bgs	wrongdoing	Aufruhr
56680	bh.t	fan	Wedel
57130	Bẖ	Buchis (sacred bull of Armant)	Buchis (heiliger Bulle von Armant)
859161	bhn		[Kleidungsstück]
56890	bḥz	calf	Kalb
56910	bḥz.t	calf	Kalb (weibl.)
54200	bj.t	bee	Biene
54210	bj.t	honey	Honig
54530	bj.w	[an aggressive insect (wasp? bee?)]	Wespe (?); Drohne (männl. Biene) (?); Hornisse (?)
54680	bjk	falcon	Falke
54690	bjk	Falcon-ship (of the king)	Falkenschiff (des Königs)
54700	bjk.t	falcon	Falkenweibchen
54710	bjk.t	falcon (esp. Hathor)	das Falkenweibchen (Hathor u.a. Göttinnen)
54650	bjn.t	harp	Harfe
54600	bjn	to be bad; to be evil	schlecht sein; böse sein
54605	bjn	bad; evil	schlecht; böse
54610	bjn	evil one	der Böse
54620	bjn	bad things	Böses
54640	bjn.t	evil	Böses
54660	bjn.w	bad deeds	böse Taten
54400	bjꜣ.t	amazement; confusion	Erstaunen; Verwirrung
54440	bjꜣ.w	wonders	wunderbare Dinge
54470	bjꜣi̯	to marvel (at)	freudig staunen; (Zeichen) vollbringen
54480	bjꜣ.yt	wonders; marvels	Staunenswertes; Wunder; Orakel
57820	bkꜣ	to be (become) pregnant; to make pregnant	schwanger sein; schwängern
57840	bkꜣ.t	pregnant woman	Schwangere
57850	bkꜣ.t	mother cow	Mutterkuh (milchende Kuh)
57860	bkꜣ.t	shoot (?) (of a rush)	Sprößling (einer Binse); Embryo (?)
400993	bnj	sweet	süß
55540	bn.t	[a (vegetable) garden]	[ein Acker (Gurkenbeet)]
55570	bnj.w	date juice (med.)	Dattelsaft
55930	bnj	date	Dattel
55940	bnj	to be sweet	süß sein
55950	bnj	sweetness (milk)	die Süße (Milch)
55960	bnj	sweetness (canal)	der Süße (Kanal)
55980	bnj.t	date palm	Dattelpalme
55990	bnj.t	date wine	Dattelwein
56000	bnj.t	sweets	Süßigkeiten
56040	bnj	confectioner	Konditor
56050	bnj.t	sweetness; charm (metaph.)	Beliebtheit
56060	bnj.w	suppliers of dates	Lieferanten von Datteln; Konditoren
56070	bnj.w	sweetness; charm (metaph.)	Süßigkeit; Beliebtheit
850457	bny	[a plant (fruit?)]	[eine Frucht (Getreidekorn)]
131850	sbnj	to make sweet (i.e., pleasant)	angenehm machen
55510	bnu̯	to escape; to depart	entkommen; abgehen
d1733	bnn(.t)		Kugel; Pille
d1662	bjr		Korb
d1759	blꜣ		lösen
d1701	bbꜣ		Jagd(?)
dm2309	bn		sich winden, sich schlängeln
dm7730	bn		Windung (vgl. bn als Verbum)
d1728	bnw		Reiher, Phönix
dm6057	bl		Vertrag(?)
d1765	blbjlꜣ.t		Korn
d1767	blbl		eindringen, sich durchbohren (durch etwas)
55620	bnw	miller (?)	Müller (?)
55650	bnw.t	quern; hard stone	Mühlstein
500131	Bnbn	House-of-the-obelisk (myth. locality in the nether world)	Haus des Obelisken (myth. Ort in der Unterwelt)
850461	Bnbn	Benben	Benben
856233	Bnbn		Benben-Sanktuar in Heliopolis
55720	bnbn	Benben (sacred stone); obelisk	Benben (heiliger Stein); Obelisk
55730	bnbn	[a conical loaf of bread]	[spitzes Brot]
55740	bnbn	yard; spar (naut.)	[ein Balken (aus Zedernholz)]
55750	bnbn	to beget; to ejaculate	begatten; ejakulieren
55770	bnbn	to make flow (of the Nile); to swell	ausfließen (vom Nil); anschwellen
55780	bnbn	to point upwards; to be erect	nach oben zeigen; aufgerichtet sein
855029	bnbn		(wie der Benben-Vogel) rufen
55800	bnbn.t	pyramidion	Pyramidion (Spitze von Pyramide und Obelisk)
851819	bnbn.t		[ein Brot]
500647	Bnbn.tj	He-who-belongs-to-the-conical-loaf	Der zum Spitzbrot Gehörige
500134	bnbny.tj	one who belongs to the obelisk (sun god)	der zum Obelisken Gehörige (Sonnengott)
501072	Bnn	Benen	Der Kuglige
55860	Bnn	Benen	Benen (eine Schlange)
55830	bnn	to beget; to become erect (of the phallus)	begatten; aufgerichtet sein
55840	bnn	[phallus (?)]	[Bez. des Phallus (?)]
55850	bnn	globule (of myrrh); bead	Kügelchen (von Myrrhe); kleine Perle
55880	bnn	to repulse (?) (the Nine Bows)	(auf die Neun Bogen) übergreifen
860410	bnn		[eine Landbezeichnung]
850952	bnn.wt		Zeugungskraft
55890	bnn.t	ball; seed pod (med.)	Kugel
55910	bnn.t	threshold	Türschwelle (?)
56380	br	basket	Korb
56430	brbr	to boil; to boil over	kochen; überkochen
56450	brbr	knob (at the top of the White Crown)	Knauf (oberer Teil der o.äg. Krone)
600537	brbr	to dig into (?) (meat); to hunt (?)	(ins Fleisch) eingraben (?); jagen (?)
856575	bn.w		Potenz (?)
860418	bn.w		Erde
55640	bn.wt	swelling (med.); sore	Entzündung; Schwellung
